CustomerID;Age;Gender;Income;CampaignChannel;CampaignType;AdSpend;ClickThroughRate;ConversionRate;WebsiteVisits;PagesPerVisit;TimeOnSite;SocialShares;EmailOpens;EmailClicks;PreviousPurchases;LoyaltyPoints;AdvertisingPlatform;AdvertisingTool;Conversion
8060;25;Female;120488,00;PPC;Consideration;9657,29;0,07;0,06;21;1,35;7,56;38;7;6;0;1035;IsConfid;ToolConfid;1
8061;64;Female;77702,00;Email;Retention;1685,18;0,25;0,13;37;9,56;1,43;90;19;2;5;2604;IsConfid;ToolConfid;1
8062;52;Female;146671,00;PPC;Conversion;5459,12;0,19;0,15;41;7,51;13,02;71;12;5;3;716;IsConfid;ToolConfid;1
8063;31;Male;114961,00;Email;Retention;3277,72;0,20;0,05;27;5,48;7,41;92;8;2;5;3979;IsConfid;ToolConfid;1
8064;34;Male;132194,00;Social Media;Retention;5322,12;0,15;0,09;16;5,96;13,76;59;18;3;4;824;IsConfid;ToolConfid;1
8065;53;Female;105107,00;Referral;Conversion;5567,53;0,27;0,05;47;5,60;1,64;52;6;1;3;125;IsConfid;ToolConfid;1
8066;67;Female;49075,00;Email;Retention;985,54;0,21;0,14;17;9,09;5,29;75;19;4;6;643;IsConfid;ToolConfid;1
8067;57;Female;127721,00;Referral;Consideration;6645,24;0,12;0,17;1;7,96;10,31;7;7;9;6;4051;IsConfid;ToolConfid;1
8068;21;Female;91031,00;Email;Consideration;6381,37;0,08;0,18;34;3,93;4,76;20;10;6;3;4280;IsConfid;ToolConfid;1
8069;19;Male;104217,00;Social Media;Consideration;7717,73;0,03;0,14;14;2,96;12,70;55;2;1;3;3849;IsConfid;ToolConfid;1
8070;23;Male;34781,00;Referral;Consideration;997,52;0,06;0,08;14;1,60;14,81;47;16;4;3;1328;IsConfid;ToolConfid;1
8071;59;Female;59865,00;PPC;Conversion;3042,86;0,30;0,14;43;2,33;4,58;46;4;5;7;558;IsConfid;ToolConfid;1
8072;21;Male;28469,00;Email;Consideration;6536,09;0,13;0,17;44;5,41;5,74;8;5;5;4;2761;IsConfid;ToolConfid;1
8073;46;Male;65167,00;Email;Retention;1453,64;0,27;0,13;33;2,82;14,53;77;14;1;4;2918;IsConfid;ToolConfid;1
8074;35;Female;144866,00;PPC;Awareness;6808,22;0,06;0,09;49;3,81;5,69;0;8;1;8;3483;IsConfid;ToolConfid;1
8075;43;Male;101738,00;Social Media;Conversion;684,36;0,13;0,18;14;2,20;8,56;54;18;1;9;11;IsConfid;ToolConfid;1
8076;61;Male;39928,00;SEO;Conversion;3415,82;0,29;0,17;17;9,31;11,65;30;5;2;5;2751;IsConfid;ToolConfid;1
8077;51;Female;96521,00;Email;Awareness;8482,44;0,04;0,18;12;1,30;6,86;79;7;1;3;1964;IsConfid;ToolConfid;1
8078;27;Male;59599,00;PPC;Consideration;7765,48;0,18;0,18;37;4,17;5,90;90;11;8;6;4031;IsConfid;ToolConfid;1
8079;53;Male;36775,00;SEO;Consideration;6483,13;0,28;0,08;7;3,32;7,69;10;15;9;7;65;IsConfid;ToolConfid;1
8080;31;Female;86504,00;Email;Retention;8717,54;0,29;0,17;15;1,07;11,80;65;19;4;6;1998;IsConfid;ToolConfid;1
8081;48;Female;95918,00;Referral;Consideration;7121,77;0,26;0,12;19;9,36;5,03;59;2;8;5;590;IsConfid;ToolConfid;1
8082;65;Male;90687,00;PPC;Consideration;5241,81;0,26;0,02;25;3,82;5,59;30;15;7;1;220;IsConfid;ToolConfid;1
8083;32;Female;46804,00;Referral;Retention;9799,20;0,20;0,13;34;5,52;3,24;49;14;4;4;4394;IsConfid;ToolConfid;1
8084;25;Male;129122,00;Social Media;Consideration;6979,08;0,07;0,10;16;6,24;10,67;59;10;6;5;928;IsConfid;ToolConfid;1
8085;31;Female;52259,00;SEO;Awareness;6053,54;0,22;0,06;25;6,49;13,54;87;5;1;1;1884;IsConfid;ToolConfid;1
8086;40;Female;145725,00;PPC;Consideration;4147,82;0,29;0,19;17;5,14;3,19;61;1;9;8;1530;IsConfid;ToolConfid;1
8087;57;Female;106284,00;Email;Awareness;9033,88;0,16;0,02;43;6,34;1,00;38;6;9;9;932;IsConfid;ToolConfid;1
8088;38;Female;105227,00;Email;Awareness;3027,52;0,09;0,19;6;7,77;6,03;2;15;6;3;3472;IsConfid;ToolConfid;1
8089;33;Male;117556,00;SEO;Awareness;191,27;0,18;0,04;43;9,57;6,45;57;0;4;4;3242;IsConfid;ToolConfid;1
8090;62;Male;63560,00;Referral;Consideration;2047,73;0,21;0,08;34;6,91;9,87;67;12;5;4;3897;IsConfid;ToolConfid;1
8091;35;Female;47256,00;Referral;Consideration;1184,22;0,07;0,09;11;5,16;1,74;29;3;8;6;1288;IsConfid;ToolConfid;1
8092;64;Male;26125,00;PPC;Conversion;3258,04;0,22;0,15;46;5,00;12,41;66;0;7;8;2324;IsConfid;ToolConfid;1
8093;41;Male;24370,00;PPC;Retention;8276,20;0,18;0,05;48;7,39;8,82;67;4;1;8;2368;IsConfid;ToolConfid;1
8094;43;Female;24838,00;Referral;Retention;6550,14;0,19;0,20;43;6,64;8,42;57;15;9;5;3006;IsConfid;ToolConfid;1
8095;42;Female;134479,00;PPC;Conversion;1772,91;0,10;0,15;40;4,78;5,09;76;18;5;8;72;IsConfid;ToolConfid;1
8096;62;Female;77429,00;Referral;Awareness;7909,34;0,06;0,16;0;4,02;5,80;52;11;0;3;3482;IsConfid;ToolConfid;1
8097;58;Male;23134,00;SEO;Retention;5091,78;0,19;0,03;24;9,94;1,30;13;8;7;4;205;IsConfid;ToolConfid;1
8098;46;Female;130995,00;PPC;Conversion;5175,87;0,18;0,10;15;7,90;11,43;9;5;0;4;2595;IsConfid;ToolConfid;1
8099;32;Male;63199,00;Referral;Awareness;3684,91;0,11;0,19;14;2,86;9,27;77;8;1;4;3514;IsConfid;ToolConfid;1
8100;62;Male;97092,00;PPC;Conversion;8659,70;0,10;0,06;10;3,63;14,66;80;1;3;0;2398;IsConfid;ToolConfid;1
8101;18;Female;144925,00;Email;Consideration;3251,44;0,11;0,04;36;9,04;5,63;21;0;9;6;4525;IsConfid;ToolConfid;1
8102;42;Male;53822,00;Email;Consideration;1031,98;0,15;0,10;38;6,95;10,16;62;9;1;5;1506;IsConfid;ToolConfid;1
8103;24;Male;113513,00;Social Media;Awareness;3097,02;0,29;0,19;2;3,80;13,83;60;2;4;2;1821;IsConfid;ToolConfid;1
8104;26;Female;40113,00;Referral;Awareness;7182,00;0,23;0,10;44;4,28;10,82;45;17;6;7;272;IsConfid;ToolConfid;1
8105;41;Male;83594,00;Social Media;Consideration;6610,06;0,26;0,09;44;4,41;1,08;36;11;6;5;360;IsConfid;ToolConfid;1
8106;18;Male;116102,00;Referral;Retention;1961,37;0,16;0,13;41;2,68;9,67;20;14;9;8;4403;IsConfid;ToolConfid;1
8107;61;Male;22669,00;PPC;Retention;1206,66;0,16;0,19;38;5,60;8,41;88;13;4;6;3502;IsConfid;ToolConfid;1
8108;25;Female;69427,00;Referral;Consideration;6642,57;0,07;0,02;19;7,89;7,74;2;9;2;7;2395;IsConfid;ToolConfid;1
8109;41;Female;101617,00;Email;Retention;6796,13;0,22;0,04;22;6,08;8,52;18;5;4;8;2647;IsConfid;ToolConfid;1
8110;28;Female;32938,00;PPC;Consideration;3724,88;0,13;0,04;14;6,90;7,18;31;19;3;5;3426;IsConfid;ToolConfid;1
8111;68;Female;25717,00;Email;Conversion;8443,73;0,23;0,03;17;6,36;10,53;78;19;5;7;603;IsConfid;ToolConfid;1
8112;34;Female;97818,00;PPC;Conversion;9784,23;0,13;0,07;38;1,53;0,72;23;11;0;1;3469;IsConfid;ToolConfid;1
8113;25;Female;67659,00;Referral;Conversion;2135,89;0,04;0,05;34;2,69;3,23;72;8;0;0;4643;IsConfid;ToolConfid;0
8114;52;Male;127601,00;Referral;Retention;5812,98;0,06;0,11;28;4,15;5,80;73;3;7;8;162;IsConfid;ToolConfid;1
8115;52;Male;84575,00;Email;Conversion;152,93;0,25;0,07;19;9,00;7,06;47;3;5;9;1669;IsConfid;ToolConfid;1
8116;50;Female;99737,00;SEO;Awareness;7159,24;0,08;0,09;41;4,14;2,39;95;1;8;5;1981;IsConfid;ToolConfid;1
8117;22;Male;36289,00;Referral;Awareness;4201,39;0,09;0,19;14;3,94;12,39;57;6;9;9;4669;IsConfid;ToolConfid;1
8118;59;Female;44406,00;SEO;Conversion;2013,37;0,28;0,04;31;1,73;13,98;39;10;0;9;2597;IsConfid;ToolConfid;1
8119;56;Female;142688,00;PPC;Awareness;7547,00;0,20;0,08;11;9,75;11,39;6;15;6;2;4820;IsConfid;ToolConfid;1
8120;58;Female;116822,00;SEO;Conversion;8125,42;0,04;0,06;47;8,01;13,97;45;9;0;2;3803;IsConfid;ToolConfid;1
8121;45;Female;32873,00;Email;Conversion;1200,55;0,05;0,11;11;7,89;11,28;90;14;6;7;3336;IsConfid;ToolConfid;1
8122;24;Female;145812,00;Social Media;Consideration;505,86;0,09;0,15;24;4,45;6,90;14;1;6;2;4108;IsConfid;ToolConfid;1
8123;26;Male;102048,00;Social Media;Conversion;3407,38;0,18;0,17;33;1,71;6,20;84;11;7;9;3310;IsConfid;ToolConfid;1
8124;25;Female;114463,00;Email;Awareness;6297,31;0,23;0,11;7;3,37;2,91;73;14;4;5;4974;IsConfid;ToolConfid;1
8125;29;Female;43461,00;Social Media;Retention;7954,85;0,09;0,17;23;8,68;1,75;86;10;7;5;3606;IsConfid;ToolConfid;1
8126;51;Female;40710,00;Email;Conversion;5506,02;0,26;0,16;44;2,62;3,68;4;9;9;4;4652;IsConfid;ToolConfid;1
8127;50;Male;105488,00;Referral;Consideration;5849,41;0,04;0,04;0;9,05;8,22;58;2;4;6;2863;IsConfid;ToolConfid;1
8128;65;Male;33448,00;SEO;Awareness;8018,60;0,07;0,06;24;5,82;2,46;69;7;8;3;596;IsConfid;ToolConfid;1
8129;40;Male;35198,00;Social Media;Consideration;5335,55;0,29;0,14;33;7,43;14,29;21;19;7;9;1084;IsConfid;ToolConfid;1
8130;41;Female;93158,00;Referral;Conversion;6150,43;0,05;0,20;13;5,08;3,67;27;19;6;5;2530;IsConfid;ToolConfid;1
8131;54;Female;126384,00;Social Media;Conversion;5210,55;0,27;0,08;35;9,39;12,59;53;4;6;0;3755;IsConfid;ToolConfid;1
8132;52;Male;87938,00;PPC;Conversion;8816,54;0,21;0,05;5;3,16;12,37;18;10;2;2;458;IsConfid;ToolConfid;1
8133;61;Female;70799,00;Email;Conversion;2431,61;0,03;0,18;44;6,15;2,55;13;11;5;6;40;IsConfid;ToolConfid;1
8134;57;Male;121860,00;Email;Awareness;2713,54;0,15;0,05;8;1,62;10,81;47;19;5;8;2601;IsConfid;ToolConfid;1
8135;39;Female;114003,00;Referral;Retention;1366,82;0,16;0,14;47;5,32;12,45;6;10;4;0;819;IsConfid;ToolConfid;1
8136;44;Female;54961,00;PPC;Conversion;8212,72;0,28;0,02;0;9,75;13,32;78;5;1;3;3124;IsConfid;ToolConfid;1
8137;52;Male;63007,00;SEO;Consideration;4176,60;0,13;0,01;8;1,79;14,33;31;7;9;6;3120;IsConfid;ToolConfid;1
8138;18;Female;85470,00;PPC;Awareness;3544,15;0,14;0,10;23;5,56;13,99;21;12;6;9;189;IsConfid;ToolConfid;1
8139;52;Female;72256,00;PPC;Awareness;9815,35;0,04;0,13;38;6,42;5,01;45;14;4;8;2995;IsConfid;ToolConfid;1
8140;54;Female;40739,00;SEO;Awareness;9275,35;0,20;0,04;17;9,39;4,38;84;1;1;7;2856;IsConfid;ToolConfid;1
8141;64;Female;104054,00;SEO;Consideration;9722,68;0,07;0,16;47;3,68;6,26;82;5;3;1;2962;IsConfid;ToolConfid;1
8142;31;Female;78186,00;PPC;Retention;1508,76;0,03;0,03;38;5,53;7,24;12;19;0;1;1913;IsConfid;ToolConfid;0
8143;20;Male;46547,00;Social Media;Consideration;8923,39;0,30;0,11;17;9,88;3,89;21;1;7;8;1910;IsConfid;ToolConfid;1
8144;18;Female;114472,00;Social Media;Consideration;3354,23;0,09;0,07;40;7,92;1,75;9;14;4;1;318;IsConfid;ToolConfid;0
8145;22;Female;105823,00;PPC;Consideration;225,30;0,05;0,15;27;8,29;10,02;43;0;7;9;4579;IsConfid;ToolConfid;1
8146;43;Female;138301,00;Social Media;Conversion;3973,85;0,21;0,16;1;8,02;3,03;23;10;0;6;4662;IsConfid;ToolConfid;1
8147;31;Male;126887,00;SEO;Conversion;5141,04;0,25;0,02;36;5,64;13,77;58;7;7;9;3096;IsConfid;ToolConfid;1
8148;56;Male;71431,00;SEO;Consideration;1171,38;0,03;0,05;40;4,91;4,67;61;8;4;8;2876;IsConfid;ToolConfid;1
8149;44;Male;45476,00;Social Media;Consideration;5423,01;0,04;0,18;35;3,29;3,37;71;14;6;7;252;IsConfid;ToolConfid;1
8150;26;Male;98411,00;SEO;Conversion;8212,69;0,04;0,09;47;5,19;3,32;71;4;2;4;4;IsConfid;ToolConfid;1
8151;32;Male;30686,00;Email;Conversion;3838,74;0,02;0,10;23;1,18;4,70;54;8;2;1;3395;IsConfid;ToolConfid;0
8152;32;Female;37536,00;SEO;Retention;3591,18;0,20;0,04;34;1,87;9,38;48;3;8;5;2692;IsConfid;ToolConfid;1
8153;43;Male;54062,00;PPC;Consideration;3454,22;0,18;0,20;5;3,59;14,69;49;9;6;6;3824;IsConfid;ToolConfid;1
8154;59;Male;68216,00;Referral;Awareness;9238,64;0,20;0,19;16;4,00;7,55;18;3;5;9;399;IsConfid;ToolConfid;1
8155;30;Female;45041,00;Social Media;Retention;582,71;0,16;0,01;29;7,37;9,20;81;4;3;6;858;IsConfid;ToolConfid;1
8156;68;Male;51653,00;Social Media;Awareness;4506,25;0,25;0,11;7;2,54;12,72;57;18;4;4;2699;IsConfid;ToolConfid;1
8157;49;Male;41673,00;SEO;Retention;2719,53;0,17;0,18;41;8,16;5,34;96;12;7;9;4216;IsConfid;ToolConfid;1
8158;56;Male;30367,00;SEO;Consideration;8948,69;0,28;0,09;9;8,21;3,11;47;10;0;8;2497;IsConfid;ToolConfid;1
8159;66;Male;39629,00;Referral;Awareness;1050,92;0,15;0,09;15;6,28;6,79;92;11;1;5;2503;IsConfid;ToolConfid;1
8160;69;Female;140756,00;Referral;Conversion;4173,28;0,24;0,08;37;5,42;5,12;95;13;2;9;2986;IsConfid;ToolConfid;1
8161;49;Male;131641,00;PPC;Retention;4127,48;0,13;0,02;25;5,21;13,06;71;12;4;8;225;IsConfid;ToolConfid;1
8162;21;Female;108636,00;Email;Awareness;8895,10;0,14;0,16;30;4,78;14,68;95;3;7;7;3180;IsConfid;ToolConfid;1
8163;47;Female;92190,00;PPC;Retention;2233,39;0,26;0,10;7;1,80;10,48;11;12;4;9;3224;IsConfid;ToolConfid;1
8164;54;Female;45063,00;Social Media;Consideration;6484,46;0,04;0,11;34;6,90;9,98;85;4;4;8;4269;IsConfid;ToolConfid;1
8165;40;Female;39322,00;SEO;Awareness;1430,62;0,17;0,06;33;6,20;10,86;19;8;5;0;1775;IsConfid;ToolConfid;1
8166;56;Female;104546,00;PPC;Awareness;9544,36;0,22;0,16;9;1,14;7,28;44;0;8;1;4941;IsConfid;ToolConfid;1
8167;62;Female;135637,00;SEO;Awareness;5970,85;0,23;0,16;39;2,82;9,62;25;11;8;7;927;IsConfid;ToolConfid;1
8168;32;Male;32693,00;SEO;Retention;6299,94;0,18;0,12;43;4,93;1,53;80;16;8;5;412;IsConfid;ToolConfid;1
8169;60;Male;29241,00;PPC;Conversion;4394,36;0,14;0,18;11;9,11;7,66;97;0;4;0;3631;IsConfid;ToolConfid;1
8170;46;Female;49778,00;PPC;Conversion;3488,60;0,09;0,03;40;9,91;5,32;30;18;5;9;3666;IsConfid;ToolConfid;1
8171;53;Male;122379,00;Referral;Conversion;2205,50;0,27;0,16;26;7,76;1,27;81;4;6;0;3396;IsConfid;ToolConfid;1
8172;30;Male;32651,00;Email;Consideration;6079,48;0,12;0,12;18;7,74;8,40;58;11;2;0;3426;IsConfid;ToolConfid;1
8173;49;Female;45966,00;Referral;Awareness;9550,16;0,24;0,05;25;4,74;5,72;2;11;0;2;3060;IsConfid;ToolConfid;1
8174;24;Female;29275,00;Email;Conversion;3661,93;0,02;0,04;14;6,14;9,06;17;10;1;8;3550;IsConfid;ToolConfid;1
8175;68;Male;65606,00;PPC;Conversion;8843,25;0,08;0,07;30;3,10;7,94;83;15;3;5;3789;IsConfid;ToolConfid;1
8176;39;Female;21658,00;Email;Awareness;1572,89;0,11;0,17;45;7,64;4,51;20;16;8;1;2545;IsConfid;ToolConfid;1
8177;45;Male;114499,00;Social Media;Consideration;9367,65;0,20;0,16;36;1,54;8,33;56;2;0;7;3047;IsConfid;ToolConfid;1
8178;19;Female;92468,00;Referral;Retention;3569,81;0,10;0,13;17;4,76;5,99;98;10;5;9;1407;IsConfid;ToolConfid;1
8179;59;Male;34248,00;Referral;Retention;3859,30;0,02;0,03;28;8,48;13,86;41;16;3;2;409;IsConfid;ToolConfid;1
8180;62;Male;44437,00;Referral;Retention;4682,14;0,06;0,19;43;9,82;5,95;61;0;5;0;3031;IsConfid;ToolConfid;1
8181;23;Female;59727,00;SEO;Awareness;7210,62;0,09;0,07;26;7,27;1,08;29;14;1;9;126;IsConfid;ToolConfid;1
8182;45;Female;38201,00;SEO;Consideration;7224,57;0,06;0,13;37;2,78;11,57;60;8;1;5;315;IsConfid;ToolConfid;1
8183;45;Female;61150,00;PPC;Awareness;4847,93;0,07;0,16;19;6,14;14,47;35;17;6;3;1148;IsConfid;ToolConfid;1
8184;61;Female;135148,00;PPC;Retention;5279,21;0,23;0,04;20;6,04;2,96;54;0;4;5;2248;IsConfid;ToolConfid;1
8185;61;Male;109891,00;SEO;Conversion;397,10;0,13;0,13;28;9,69;14,61;3;5;5;7;3438;IsConfid;ToolConfid;1
8186;37;Female;34999,00;Referral;Conversion;3112,54;0,13;0,02;42;8,56;9,45;14;1;3;3;4419;IsConfid;ToolConfid;1
8187;47;Male;140703,00;SEO;Conversion;3525,57;0,29;0,03;14;1,44;12,79;70;4;0;3;855;IsConfid;ToolConfid;0
8188;28;Male;26376,00;Email;Retention;5631,40;0,14;0,15;21;2,98;7,36;95;2;7;5;1886;IsConfid;ToolConfid;1
8189;45;Male;71673,00;Referral;Consideration;5627,17;0,28;0,04;22;8,58;9,53;96;4;0;1;4203;IsConfid;ToolConfid;1
8190;42;Female;23476,00;SEO;Retention;7128,01;0,10;0,09;3;9,75;12,70;56;7;7;2;1278;IsConfid;ToolConfid;1
8191;56;Female;137393,00;PPC;Awareness;7198,57;0,13;0,06;23;3,65;14,75;62;5;0;1;3056;IsConfid;ToolConfid;1
8192;50;Female;89902,00;SEO;Consideration;2428,59;0,12;0,09;13;7,22;3,18;76;10;9;8;1032;IsConfid;ToolConfid;1
8193;18;Female;134510,00;Social Media;Conversion;7724,85;0,17;0,02;36;3,77;13,53;63;10;9;3;1552;IsConfid;ToolConfid;1
